,Title,Publisher,Resource,Jurisdiction_x,Portal,0_Data_desc,0_Data_format,0_Data_page,0_Data_title,0_Data_url,1_Data_desc,1_Data_format,1_Data_page,1_Data_title,1_Data_url,2_Data_desc,2_Data_format,2_Data_page,2_Data_title,2_Data_url,3_Data_desc,3_Data_format,3_Data_page,3_Data_title,3_Data_url,4_Data_desc,4_Data_format,4_Data_page,4_Data_title,4_Data_url,5_Data_desc,5_Data_format,5_Data_page,5_Data_title,5_Data_url,6_Data_desc,6_Data_format,6_Data_page,6_Data_title,6_Data_url,7_Data_format,7_Data_page,7_Data_title,7_Data_url,8_Data_format,8_Data_page,8_Data_title,8_Data_url,Contact Point,Data Portal,Data Status,Date Published,Date Updated,Description,Field,Fields of Research,Geospatial Coverage,Geospatial Topics,Jurisdiction_y,Landing Page,Language,Licence,Publisher/Agency,RDF,Tag_0,Tag_1,Tag_10,Tag_11,Tag_12,Tag_13,Tag_14,Tag_15,Tag_16,Tag_17,Tag_18,Tag_19,Tag_2,Tag_20,Tag_21,Tag_22,Tag_23,Tag_24,Tag_25,Tag_26,Tag_27,Tag_28,Tag_29,Tag_3,Tag_30,Tag_31,Tag_32,Tag_33,Tag_34,Tag_35,Tag_36,Tag_37,Tag_38,Tag_39,Tag_4,Tag_40,Tag_41,Tag_5,Tag_6,Tag_7,Tag_8,Tag_9,Temporal Coverage,Type,URL,Update Frequency
154,IMOS - ANMN Queensland and Northern Australia Capricorn Channel (GBRCCH) Mooring,Integrated Marine Observing System (IMOS)                 ,HTML, Commonwealth of Australia, Australian Institute of Marine Science CSW Harvester,,HTML,https://data.gov.au/dataset/imos-anmn-queensland-and-northern-australia-capricorn-channel-gbrcch-mooring/resource/50893811-d9cc-4d0c-8d07-bd99df10fe4a,Processed data files,http://thredds.aodn.org.au/thredds/catalog/IMOS/ANMN/QLD/GBRCCH/catalog.html,,HTML,https://data.gov.au/dataset/imos-anmn-queensland-and-northern-australia-capricorn-channel-gbrcch-mooring/resource/75c00f8e-7a0b-48d0-8fe1-426679517442,Website of the Australian Ocean Data Network (AODN),http://imos.org.au/aodn.html,,HTML,https://data.gov.au/dataset/imos-anmn-queensland-and-northern-australia-capricorn-channel-gbrcch-mooring/resource/a8e411a5-74e0-4cfb-b158-7e22b8748bad,Website of the ANMN Queensland and Northern Australia Sub-Facility,http://imos.org.au/anmnqld.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  Integrated Marine Observing System (IMOS)  info@aodn.org.au  , Australian Institute of Marine Science CSW Harvester, inactive,2017-06-24,2017-06-24,"The QLD Capricorn Channel Mooring (IMOS Platform Code: GBRCCH) is one of five moorings, offshore from Gladstone in Queensland, Australia at Latitude: -22.408, Longitude: 151.993.",None,," {""type"": ""Point"", ""coordinates"": [151.9933667, -22.40815]}",, Commonwealth of Australia,https://data.gov.au/dataset/21a66544-4613-4037-b30f-66f311f3126c ,English, Other ,Integrated Marine Observing System (IMOS)                 ,https://data.gov.au/dataset/21a66544-4613-4037-b30f-66f311f3126c.rdf,ANMN,Acoustic Doppler Current Profiler %28ADCP%29,Conductivity,Current Meters%2FProfilers,Fluorescence,Fluorometers,GBRCCH,IMOS Facility,IMOS Platform,Inorganic Carbon,Microbiota,Moored Buoys,Alkalinity,Nutrients,Ocean Chemistry,Ocean Circulation,Ocean Currents,Ocean Optics,Ocean Temperature,Oceans,Oxygen,Photosynthetically Active Radiation,Plankton,Australian National Mooring Network,Salinity%2Fdensity,Turbidity,Water Depth,Water Temperature,,,,,,,Bathymetry,,,Biosphere,Buoys,CTD %28Conductivity-Temperature-Depth Profilers%29,Capricorn Channel Mooring,Carbon Dioxide,,Dataset,https://data.gov.au/dataset/imos-anmn-queensland-and-northern-australia-capricorn-channel-gbrcch-mooring, continual
155,"Detailed gravity survey of Rough Range anticline, near Learmonth, Western Australia",Geoscience Australia                 ,PDF, Commonwealth of Australia, Geoscience Australia CSW Harvester,Record (pdf),PDF,https://data.gov.au/dataset/detailed-gravity-survey-of-rough-range-anticline-near-learmonth-western-australia/resource/ccf330d9-0e41-4d55-ac62-d6f61e59fae0,File download,https://d28rz98at9flks.cloudfront.net/10025/Rec1956_148.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  Geoscience Australia  clientservices@ga.gov.au  , Geoscience Australia CSW Harvester, inactive,2017-06-25,2017-06-25,Legacy product - no abstract available,None,,,, Commonwealth of Australia,https://data.gov.au/dataset/488f6a9a-e219-46ec-bf5e-b9128589c0a1 ,English, Creative Commons Attribution 4.0 International ,Geoscience Australia                 ,https://data.gov.au/dataset/488f6a9a-e219-46ec-bf5e-b9128589c0a1.rdf,AU-WA,Earth Sciences,,,,,,,,,,,GA Publication,,,,,,,,,,,Record,,,,,,,,,,,gravity,,,,,,,,,Dataset,https://data.gov.au/dataset/detailed-gravity-survey-of-rough-range-anticline-near-learmonth-western-australia, unknown
156,"Progress report on the geology of the Bathurst Island, Melville Island, Cobourg Peninsula, and Fog Bay 1:250 000 sheet areas, Northern Territory",Geoscience Australia                 ,PDF, Commonwealth of Australia, Geoscience Australia CSW Harvester,Record (pdf),PDF,https://data.gov.au/dataset/progress-report-on-the-geology-of-the-bathurst-island-melville-island-cobourg-peninsula-and-fog/resource/70152412-7e70-401a-b2d4-98f31394afaf,File download,https://d28rz98at9flks.cloudfront.net/12876/Rec1973_052.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  Geoscience Australia  clientservices@ga.gov.au  , Geoscience Australia CSW Harvester, inactive,2017-06-25,2017-06-25,Legacy product - no abstract available,None,,,, Commonwealth of Australia,https://data.gov.au/dataset/c1d0fccb-f621-4eb7-9612-59802c79db2f ,English, Creative Commons Attribution 4.0 International ,Geoscience Australia                 ,https://data.gov.au/dataset/c1d0fccb-f621-4eb7-9612-59802c79db2f.rdf,AU-NT,Earth Sciences,,,,,,,,,,,GA Publication,,,,,,,,,,,Record,,,,,,,,,,,geology,,,,,,,,,Dataset,https://data.gov.au/dataset/progress-report-on-the-geology-of-the-bathurst-island-melville-island-cobourg-peninsula-and-fog, unknown
157,IMOS NRS mooring network data - Darwin NRS Buoy Turbidity @18m -  From 14 Feb 2015 To 07 Oct 2016,Australian Institute of Marine Science                 ,HTML, Commonwealth of Australia, Australian Institute of Marine Science CSW Harvester,,HTML,https://data.gov.au/dataset/imos-nrs-mooring-network-data-darwin-nrs-buoy-turbidity-18m-from-14-feb-2015-to-07-oct-2016/resource/8a70889b-37b4-46ce-84d7-0d1c8f4db477,Unchecked Turbidity @18.0m data from 14 Feb 2015 until 07 Oct 2016 (Raw Data),http://data.aims.gov.au/aimsrtds/datatool.xhtml?qc=level0&channels=84314,,HTML,https://data.gov.au/dataset/imos-nrs-mooring-network-data-darwin-nrs-buoy-turbidity-18m-from-14-feb-2015-to-07-oct-2016/resource/64cdd71f-4ab6-4fd0-9b9f-4c0c95aee6e0,Point of truth URL of this metadata record,http://data.aims.gov.au/metadataviewer/faces/view.xhtml?uuid=93ef4916-efd1-4197-8848-8f0ce115dddd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  Australian Institute of Marine Science  reception@aims.gov.au  , Australian Institute of Marine Science CSW Harvester, inactive,2017-06-24,2017-10-09,'Australian National Moorings Network' (ANMN) is a facility of the Australian 'Integrated Marine Observing System' (IMOS) project. This data set was collected by the ANMN sub-facility 'National Reference Systems' (NRS) and contains data from the following sensor deployments: ,None,," {""type"": ""Point"", ""coordinates"": [130.7151, -12.34326]}",, Commonwealth of Australia,https://data.gov.au/dataset/232f9909-ea1f-4331-9eeb-c0898410cab0 ,English, Creative Commons Attribution 2.5 Australia ,Australian Institute of Marine Science                 ,https://data.gov.au/dataset/232f9909-ea1f-4331-9eeb-c0898410cab0.rdf,Acoustic Doppler Current Profiler %28ADCP%29,Air Temperature,CTD %28Conductivity-Temperature-Depth Profilers%29,Carbon Dioxide,Conductivity,Current Meters%2FProfilers,Darwin National Reference Station Mooring,Data Loggers,Fluorescence,Fluorometers,Humidity,IMOS Platform,Alkalinity,Inorganic Carbon,Microbiota,Moored Buoys,NRSDAR,Nutrients,Ocean Chemistry,Ocean Circulation,Ocean Currents,Ocean Optics,Ocean Temperature,Atmosphere,Oceans,Oxygen,Photosynthetically Active Radiation,Plankton,Radiation Sensors,Relative humidity,Salinity%2FDensity,Turbidity,Water Depth,Water Temperature,Atmospheric Temperature,Wind direction,Wind speed,Atmospheric Water Vapor,Barometric pressure,Bathymetry,Biosphere,Buoys,,Dataset,https://data.gov.au/dataset/imos-nrs-mooring-network-data-darwin-nrs-buoy-turbidity-18m-from-14-feb-2015-to-07-oct-2016, continual
158,BMR Research Newsletter 9,Geoscience Australia                 ,PDF, Commonwealth of Australia, Geoscience Australia CSW Harvester,Download the file (pdf),PDF,https://data.gov.au/dataset/bmr-research-newsletter-9/resource/1009c5f3-a86d-4f71-9e11-6b1c1eebe7ce,File download,https://d28rz98at9flks.cloudfront.net/76287/ResearchNews_09.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  Geoscience Australia  clientservices@ga.gov.au  , Geoscience Australia CSW Harvester, inactive,2017-06-25,2017-06-25,"Titles in this newsletter: Rig Seismic inivestigates Tasmanian margin Cambrian palaeogeographic maps published (Palaeogeographic Atlas of Australia) New Southwest Pacific geological map Block and possible terrane boundaries in the Mount Isa Inlier Towards an Australian time scale Epithermal gold, and foreland faulting and magmatism, Kalimantan, Indonesia Release of 'GDA', BMR's new whole-rock geochemical data analysis system Thermogenic gases in sea-floor sediments, offshore Otway and Gippsland Basins Palaeogeography, Sea Level, & Climate: Implications for resource exploration: 1988 BMR Research Symposium, 8-10 November, CanberraBMR publications, maps and data releases, and how to obtain them Recent publications and data releases Issue of Precambrian Research on the Early to Middle Proterozoic of Australia New Davenport Province Bulletin Release of BMR's whole-rock geochemical database 'PETCHEM' Estimation of oil discovery and production in Australia from undiscovered accumulations (onshore) New potential reservoir identified in Clarence-Moreton Basin  Is CO2 involved in the migration of hydrocarbons from type-III kerogen? Comparison of Amadeus Basin with Sichuan Basin, southwest China Non-volcanic sources of diamond Non-volcanic sources of diamond: subducted eclogites and peridotite massifs? Use of aeromagnetic flight-lineprofiles: mapping lithologicaltrends in high-grade gneiss Ocean drilling results, S. Kerguelen Plateau New waterguns improveseismic resolutionaboard Rig Seismic Murray Basin Goundwater Project New National Resource Information Centre 'NRIC' Recent symposium, 'Deep Seismic Probing of Continents and their Margins' News briefs [supplement]",None,,,, Commonwealth of Australia,https://data.gov.au/dataset/b5cf0dc0-d45e-4380-a8e4-85f43d107ba0 ,English, Creative Commons Attribution 4.0 International ,Geoscience Australia                 ,https://data.gov.au/dataset/b5cf0dc0-d45e-4380-a8e4-85f43d107ba0.rdf,Earth Sciences,GA Publication,,,,,,,,,,,Research Newsletter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dataset,https://data.gov.au/dataset/bmr-research-newsletter-9, unknown
159,Linnaeus Voyage LI2015_V11 (UWY) Underway Data,CSIRO Oceans and Atmosphere - Information and Data Centre                 ,ZIP, Commonwealth of Australia, Australian Oceans Data Network CSW Harvester,Download 1 sec NetCDF format:  li2015_v11uwy_nc.zip,ZIP,https://data.gov.au/dataset/linnaeus-voyage-li2015_v11-uwy-underway-data/resource/bebfff03-4262-4c4a-be51-bee16cd41bb0,Data Link,http://www.cmar.csiro.au/datacentre/process/data_files/Linnaeus/li2015_v11/processed/li2015_v11uwy_nc.zip,Download 10 second csv format:  li2015_v11uwy10_csv.zip,CSV,https://data.gov.au/dataset/linnaeus-voyage-li2015_v11-uwy-underway-data/resource/a814c615-9f70-462f-a5f0-f5b734edfae2,Data Link,http://www.cmar.csiro.au/datacentre/process/data_files/Linnaeus/li2015_v11/processed/li2015_v11uwy10_csv.zip,Download 10 second pdr format: li2015_v11uwy10_pdr.zip,ZIP,https://data.gov.au/dataset/linnaeus-voyage-li2015_v11-uwy-underway-data/resource/c4320f28-cba5-439f-8473-ba1f8b321217,Data Link,http://www.cmar.csiro.au/datacentre/process/data_files/Linnaeus/li2015_v11/processed/li2015_v11uwy10_pdr.zip,Download 5 minute csv format:  li2015_v11uwy5min_csv.zip,CSV,https://data.gov.au/dataset/linnaeus-voyage-li2015_v11-uwy-underway-data/resource/0e62f2d2-68b1-4dd2-8a96-26263df5722e,Data Link,http://www.cmar.csiro.au/datacentre/process/data_files/Linnaeus/li2015_v11/processed/li2015_v11uwy5min_csv.zip,Download the processing report: li2015_v11UwyDataProcessing.pdf,PDF,https://data.gov.au/dataset/linnaeus-voyage-li2015_v11-uwy-underway-data/resource/ada397b5-824b-4acf-8653-438cf44cf2f6,Documentation Link,http://www.cmar.csiro.au/datacentre/process/data_files/Linnaeus/li2015_v11/local_docs/li2015_v11UwyDataProcessing.pdf,,,,,,,,,,,,,,,,,,,  CSIRO Oceans and Atmosphere - Information and Data Centre  data-requests-hf@csiro.au  , Australian Oceans Data Network CSW Harvester, inactive,2017-06-24,2017-06-24,"This dataset contains the Underway (UWY) data collected on Linnaeus voyage LI2015_V11. The voyage took place on the 7 May 2015 from Hillarys Boat Harbour (WA) to Rottnest Island and back to Hillarys (WA) on the 7 May 2015.  Voyage Objectives: Servicing the Rottnest Island National Reference Station.  There were no CTD deployments undertaken during the voyage. Fluorometer sensor data were not collected on this voyage due to sensor fouling from the previous voyage. Water depth data and TSG data were not collected on this voyage.  Data are stored at 1 second intervals (NetCDF format)  and both 10 second 5 minute intervals (.csv format),  including a 10 second PDR (Precision depth recorder) file in .csv format.   Additional information regarding this dataset is contained in the data processing report for this voyage.",None,," {""type"": ""Polygon"", ""coordinates"": [[[115.0, -32.1], [115.8, -32.1], [115.8, -31.7], [115.0, -31.7], [115.0, -32.1]]]}",, Commonwealth of Australia,https://data.gov.au/dataset/120bb444-1059-4b1f-99ca-e2744a65c485 ,English, Other ,CSIRO Oceans and Atmosphere - Information and Data Centre                 ,https://data.gov.au/dataset/120bb444-1059-4b1f-99ca-e2744a65c485.rdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dataset,https://data.gov.au/dataset/linnaeus-voyage-li2015_v11-uwy-underway-data, asNeeded
160,Computer programs for Turam ratios and data reductions,Geoscience Australia                 ,PDF, Commonwealth of Australia, Geoscience Australia CSW Harvester,Record (pdf),PDF,https://data.gov.au/dataset/computer-programs-for-turam-ratios-and-data-reductions/resource/3d4247be-a221-49fa-a577-10099e8644d9,File download,https://d28rz98at9flks.cloudfront.net/12308/Rec1969_049.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  Geoscience Australia  clientservices@ga.gov.au  , Geoscience Australia CSW Harvester, inactive,2017-06-25,2017-06-25,Legacy product - no abstract available,None,,,, Commonwealth of Australia,https://data.gov.au/dataset/bb890472-1edb-4def-a2cc-1bbeb991902c ,English, Creative Commons Attribution 4.0 International ,Geoscience Australia                 ,https://data.gov.au/dataset/bb890472-1edb-4def-a2cc-1bbeb991902c.rdf,Earth Sciences,GA Publication,,,,,,,,,,,Record,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dataset,https://data.gov.au/dataset/computer-programs-for-turam-ratios-and-data-reductions, unknown
161,IMOS FAIMMS Sensor Network data - Lizard Island Sensor Float 2 Water Temperature -  From 13 Aug 2010 To 28 Feb 2017,Australian Institute of Marine Science                 ,HTML, Commonwealth of Australia, Australian Institute of Marine Science CSW Harvester,,HTML,https://data.gov.au/dataset/imos-faimms-sensor-network-data-lizard-island-sensor-float-2-water-temperature-from-13-aug-2017/resource/33097cdd-afdc-4f38-a011-6b409b930401,Automatically checked Water Temperature @10.9m data from 14 Aug 2010 until 07 Oct 2015 (Quality Controlled Data),http://data.aims.gov.au/aimsrtds/datatool.xhtml?qc=level1&channels=3543,,HTML,https://data.gov.au/dataset/imos-faimms-sensor-network-data-lizard-island-sensor-float-2-water-temperature-from-13-aug-2017/resource/c7c9f59d-b519-4818-bd7e-85ba69a9d1bc,Automatically checked Water Temperature @5.0m data from 14 Aug 2010 until 12 Apr 2015 (Quality Controlled Data),http://data.aims.gov.au/aimsrtds/datatool.xhtml?qc=level1&channels=3542,,HTML,https://data.gov.au/dataset/imos-faimms-sensor-network-data-lizard-island-sensor-float-2-water-temperature-from-13-aug-2017/resource/364feb5b-3091-4f42-ad8f-e6645c650d1f,Automatically checked Water Temperature @0.6m data from 13 Aug 2010 until 28 Feb 2017 (Quality Controlled Data),http://data.aims.gov.au/aimsrtds/datatool.xhtml?qc=level1&channels=3541,,HTML,https://data.gov.au/dataset/imos-faimms-sensor-network-data-lizard-island-sensor-float-2-water-temperature-from-13-aug-2017/resource/57149a1c-d907-425d-9dd2-d5824e6b125f,Point of truth URL of this metadata record,http://data.aims.gov.au/metadataviewer/faces/view.xhtml?uuid=8bcedc63-0bf1-47a7-80fd-5f47903b25bd,,,,,,,,,,,,,,,,,,,,,,,,  Australian Institute of Marine Science  reception@aims.gov.au  , Australian Institute of Marine Science CSW Harvester, inactive,2017-06-24,2017-10-09,The 'Facility for Automated Intelligent Monitoring of Marine Systems' (FAIMMS) is a facility of the Australian 'Integrated Marine Observing System' (IMOS) project. This data set was collected by the FAIMMS Great Barrier Reef Sensor Network and contains data from the following sensor deployments: ,None,," {""type"": ""Point"", ""coordinates"": [145.45705, -14.694067]}",, Commonwealth of Australia,https://data.gov.au/dataset/1b5c062c-a0e8-40cc-b095-0599c7f79287 ,English, Creative Commons Attribution 2.5 Australia ,Australian Institute of Marine Science                 ,https://data.gov.au/dataset/1b5c062c-a0e8-40cc-b095-0599c7f79287.rdf,Buoys,CTD %28Conductivity-Temperature-Depth Profilers%29,Moored Buoys,Ocean Temperature,Ocean Winds,Oceanography,Oceans,Physical Oceanography,Salinity%2FDensity,Surface Winds,Thermistors,Water Temperature,Coastal Processes,,,,,,,,,,,Conductivity,,,,,,,,,,,Coral Reefs,,,Data Loggers,EARTH SCIENCES,ENGINEERING AND TECHNOLOGY,Marine Engineering,Maritime Engineering,,Dataset,https://data.gov.au/dataset/imos-faimms-sensor-network-data-lizard-island-sensor-float-2-water-temperature-from-13-aug-2017, asNeeded
162,AUSGeoid98 v.1.0 data files: Longreach (sf55-13),Geoscience Australia                 ,ZIP, Commonwealth of Australia, Geoscience Australia CSW Harvester,Download the file (.dat),ZIP,https://data.gov.au/dataset/ausgeoid98-v-1-0-data-files-longreach-sf55-13/resource/6f25ac3f-8d6b-4fd5-977c-7a46d0d8966a,File download,https://d28rz98at9flks.cloudfront.net/62922/62922_sf55-13.zip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  Geoscience Australia  clientservices@ga.gov.au  , Geoscience Australia CSW Harvester, inactive,2017-06-25,2017-06-25,"AUSGeoid98 data files contain a 2 minute grid of AUSGeoid98 data covering the Australian region, which you can use to interpolate geoid-ellipsoid separations for the positions required.You can use your own interpolation software, or you can use Geoscience Australia's Windows Interpolation software (Winter). The data files are text files in a standard format that cover the same area as standard topographic map areas. Files covering both 1:250,000 (approximately 100 x 150 km) and 1:1,000,000 (approximately 400 x 600 km) map areas are available. There is a 4 minute overlap on all sides of each area. Data format: AUSGeoid98 data files have a header record at the start of each file, to distinguish them from the superseded AUSGeoid93 data files. AUSGeoid98 data files show the geoid-ellipsoid separation to 3 decimal places, while the superseded AUSGeoid93 data files showed only 2 decimal places. AUSGeoid98 deflections of the vertical were computed from the geoid-ellipsoid separation surface, while the AUSGeoid93 deflections of the vertical were computed from OSU91A.",None,," {""type"": ""Polygon"", ""coordinates"": [[[144.0, -24.0], [145.5, -24.0], [145.5, -23.0], [144.0, -23.0], [144.0, -24.0]]]}",, Commonwealth of Australia,https://data.gov.au/dataset/e918f169-0bf8-43d9-9194-53fec991f55f ,English, Creative Commons Attribution 4.0 International ,Geoscience Australia                 ,https://data.gov.au/dataset/e918f169-0bf8-43d9-9194-53fec991f55f.rdf,AU,AUSGeoid98,,,,,,,,,,,Geodesy,,,,,,,,,,,Geodetic Data,,,,,,,,,,,dataset,,,geodesy,,,,,,Dataset,https://data.gov.au/dataset/ausgeoid98-v-1-0-data-files-longreach-sf55-13, unknown
163,"Australia and the Ocean Drilling Program : Extended Abstracts from the 13th Australian Geological Convention, Canberra, 1996",Geoscience Australia                 ,PDF, Commonwealth of Australia, Australian Oceans Data Network CSW Harvester,Record (pdf),PDF,https://data.gov.au/dataset/australia-and-the-ocean-drilling-program-extended-abstracts-from-the-13th-australian-geolo-1996/resource/2ca88c29-a3d1-4fe1-b160-5f0ba8775883,Record (pdf),https://d28rz98at9flks.cloudfront.net/14891/Rec1996_004.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  Geoscience Australia  sales@ga.gov.au  , Australian Oceans Data Network CSW Harvester, inactive,2017-06-24,2017-06-24,Legacy product - no abstract available,None,," {""type"": ""Polygon"", ""coordinates"": [[[110.0, -44.0], [156.0, -44.0], [156.0, -9.0], [110.0, -9.0], [110.0, -44.0]]]}",, Commonwealth of Australia,https://data.gov.au/dataset/1469c7da-346f-4bc9-b875-f5262adce5ff ,English, Creative Commons Attribution 4.0 International ,Geoscience Australia                 ,https://data.gov.au/dataset/1469c7da-346f-4bc9-b875-f5262adce5ff.rdf,Earth Sciences,GA Publication,,,,,,,,,,,Record,,,,,,,,,,,geology,,,,,,,,,,,marine,,,marine survey,,,,,,Dataset,https://data.gov.au/dataset/australia-and-the-ocean-drilling-program-extended-abstracts-from-the-13th-australian-geolo-1996, asNeeded
164,"Mineral resources of Australia, 1980",Geoscience Australia                 ,PDF, Commonwealth of Australia, Geoscience Australia CSW Harvester,Record (pdf),PDF,https://data.gov.au/dataset/mineral-resources-of-australia-1980/resource/da68b1d5-9647-4b16-9a18-fb0cd118891e,File download,https://d28rz98at9flks.cloudfront.net/13787/Rec1980_001.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  Geoscience Australia  clientservices@ga.gov.au  , Geoscience Australia CSW Harvester, inactive,2017-06-25,2017-06-25,Legacy product - no abstract available,None,,,, Commonwealth of Australia,https://data.gov.au/dataset/36b7e282-582c-48b3-94ce-535535d92005 ,English, Creative Commons Attribution 4.0 International ,Geoscience Australia                 ,https://data.gov.au/dataset/36b7e282-582c-48b3-94ce-535535d92005.rdf,AU,Earth Sciences,,,,,,,,,,,GA Publication,,,,,,,,,,,Record,,,,,,,,,,,mineral deposits,,,,,,,,,Dataset,https://data.gov.au/dataset/mineral-resources-of-australia-1980, unknown
165,Gregory Lake 1:100 000 unpublished topographic map,Geoscience Australia                 ,PDF, Commonwealth of Australia, Geoscience Australia CSW Harvester,Download the map (pdf),PDF,https://data.gov.au/dataset/gregory-lake-1-100-000-unpublished-topographic-map/resource/98b8c0ac-7710-49b3-ad6f-576512ee47da,File download,https://d28rz98at9flks.cloudfront.net/58662/4357.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  Geoscience Australia  clientservices@ga.gov.au  , Geoscience Australia CSW Harvester, inactive,2017-06-25,2017-06-25,At this scale 1cm on the map represents 1km on the ground. Each map covers a minimum area of 0.5 degrees longitude by 0.5 degrees latitude or about 54 kilometres by 54 kilometres. The contour interval is 20 metres. Many maps are supplemented by hill  shading.,None,," {""type"": ""Polygon"", ""coordinates"": [[[127.0, -20.5], [127.5, -20.5], [127.5, -20.0], [127.0, -20.0], [127.0, -20.5]]]}",, Commonwealth of Australia,https://data.gov.au/dataset/ec7c4746-2d69-44b3-9bdb-6c74cf99010c ,English, Creative Commons Attribution 4.0 International ,Geoscience Australia                 ,https://data.gov.au/dataset/ec7c4746-2d69-44b3-9bdb-6c74cf99010c.rdf,100K unpublished,AU-WA,,,,,,,,,,,Topographic Map,,,,,,,,,,,Topology,,,,,,,,,,,,,,,,,,,,Dataset,https://data.gov.au/dataset/gregory-lake-1-100-000-unpublished-topographic-map, unknown
166,"New SHRIMP U-Pb zircon ages from the New England Orogen, New South Wales: July 2012-June 2014",Geoscience Australia                 ,PDF, Commonwealth of Australia, Geoscience Australia CSW Harvester,Record (pdf),PDF,https://data.gov.au/dataset/new-shrimp-u-pb-zircon-ages-from-the-new-england-orogen-new-south-wales-july-2012-june-2014/resource/66fbdcfd-d13d-4236-8449-d34065fcd967,File download,https://d28rz98at9flks.cloudfront.net/78530/Rec2014_052.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  Geoscience Australia  clientservices@ga.gov.au  , Geoscience Australia CSW Harvester, inactive,2017-06-25,2017-06-25,"This Record presents new zircon U-Pb geochronological data, obtained using a Sensitive High Resolution Ion MicroProbe (SHRIMP) for thirty-five samples of plutonic rocks from the New England Orogen, New South Wales. The work was carried out under the auspices of the National Geoscience Accord, as a component of the collaborative Geochronology Project between the Geological Survey of New South Wales (GSNSW) and Geoscience Australia (GA) during the reporting periods 2012-2014.",None,,,, Commonwealth of Australia,https://data.gov.au/dataset/53fa0cca-debf-4d03-9fdb-b3ac6886989f ,English, Creative Commons Attribution 4.0 International ,Geoscience Australia                 ,https://data.gov.au/dataset/53fa0cca-debf-4d03-9fdb-b3ac6886989f.rdf,GA Publication,Geochronology,,,,,,,,,,,Record,,,,,,,,,,,SHRIMP,,,,,,,,,,,U-Pb,,,geochronology,petrography,,,,,Dataset,https://data.gov.au/dataset/new-shrimp-u-pb-zircon-ages-from-the-new-england-orogen-new-south-wales-july-2012-june-2014, unknown
167,"Cape Horn area geophysical survey, Queenstown, Tasmania 1966",Geoscience Australia                 ,PDF, Commonwealth of Australia, Geoscience Australia CSW Harvester,Record (pdf),PDF,https://data.gov.au/dataset/cape-horn-area-geophysical-survey-queenstown-tasmania-1966/resource/d126a257-ef8d-4be1-afde-66add7e11188,File download,https://d28rz98at9flks.cloudfront.net/12045/Rec1967_100.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  Geoscience Australia  clientservices@ga.gov.au  , Geoscience Australia CSW Harvester, inactive,2017-06-25,2017-06-25,Legacy product - no abstract available,None,," {""type"": ""Polygon"", ""coordinates"": [[[145.5, -42.5], [146.0, -42.5], [146.0, -42.0], [145.5, -42.0], [145.5, -42.5]]]}",, Commonwealth of Australia,https://data.gov.au/dataset/7e571fc2-3e17-4b97-ab26-ec782e68bd71 ,English, Creative Commons Attribution 4.0 International ,Geoscience Australia                 ,https://data.gov.au/dataset/7e571fc2-3e17-4b97-ab26-ec782e68bd71.rdf,AU-TAS,Earth Sciences,,,,,,,,,,,GA Publication,,,,,,,,,,,Record,,,,,,,,,,,geophysics,,,,,,,,,Dataset,https://data.gov.au/dataset/cape-horn-area-geophysical-survey-queenstown-tasmania-1966, unknown
